ID,Comapny name,Position,URL
1,facebook,"Data Center Engineer, Plan & Build",https://www.facebook.com/careers/jobs/a0I1H00000MAKp9UAH/
2,facebook,Chief Building Engineer,https://www.facebook.com/careers/jobs/a0I1H00000MAc4wUAD/
3,facebook,Data Center Logistics Analyst,https://www.facebook.com/careers/jobs/a0I1H00000MATU5UAP/
4,facebook,Facility Technical Manager,https://www.facebook.com/careers/jobs/a0I1H00000Mp41rUAB/
5,facebook,Construction QA/QC Program Engineer,https://www.facebook.com/careers/jobs/a0I1H00000MomvXUAR/
6,facebook,Data Center Automation Engineer,https://www.facebook.com/careers/jobs/a0I1H00000MokD5UAJ/
7,facebook,"Data Center Operations Engineer, University Grad",https://www.facebook.com/careers/jobs/a0I1H00000MAWjAUAX/
8,facebook,Construction Project Manager,https://www.facebook.com/careers/jobs/a0I1H00000LBncDUAT/
9,facebook,Data Center Engineering Specialist - Production Hardware Engineer,https://www.facebook.com/careers/jobs/a0I1H00000Mok3AUAR/
10,facebook,Solutions Engineer - Intern,https://www.facebook.com/careers/jobs/a0I1H00000MAWyoUAH/
11,facebook,"Data Analytics Manager, Community Operations",https://www.facebook.com/careers/jobs/a0I1H00000LCUP4UAP/
12,facebook,Legal Investigations Analyst,https://www.facebook.com/careers/jobs/a0I1H00000MonZEUAZ/
13,facebook,"HR Business Partner, Business Integrity",https://www.facebook.com/careers/jobs/a0I1H00000MARsGUAX/
14,facebook,Financial Operations Lead – Credit Analyst,https://www.facebook.com/careers/jobs/a0I1H00000MAIbcUAH/
15,facebook,"Technical Sourcer, Software Engineering - Central",https://www.facebook.com/careers/jobs/a0I1H00000Mp7VnUAJ/
16,facebook,"Director, Business Integrity Operations - Optimize & Scale",https://www.facebook.com/careers/jobs/a0I1H00000MoiqQUAR/
17,facebook,"Data Analytics Specialist, Risk and Response (Core Ops)",https://www.facebook.com/careers/jobs/a0I1H00000MoRgPUAV/
18,facebook,"
Data Lead, Solutions","
https://www.facebook.com/careers/jobs/a0I1H00000MpBAEUA3/"
19,pwc,,https://jobs.pwc.com/ShowJob/Id/892858/Tax-Reporting-Strategy-Data-Analytics-Senior-Associate/
